-9.924 -9.936 -9.900 -10.167 -9.988 -10.033 -10.002 -9.702 -10.005 -9.988
-8.959 -9.113 -8.993 -9.027 -9.012 -9.088 -8.948 -9.015 -8.967 -9.069
-7.976 -7.989 -7.923 -8.010 -8.091 -7.773 -7.998 -8.000 -7.999 -8.055
-6.865 -6.965 -7.083 -7.175 -7.087 -7.088 -6.869 -7.075 -6.854 -6.873
-5.985 -5.938 -6.089 -5.961 -6.001 -6.053 -6.187 -6.063 -5.805 -6.034
-4.878 -4.981 -4.825 -4.995 -4.952 -4.974 -5.082 -5.054 -5.020 -5.118
-3.858 -4.030 -4.038 -3.972 -4.081 -3.933 -4.003 -4.151 -3.861 -4.046
-3.024 -2.868 -3.146 -3.140 -3.222 -2.973 -3.065 -2.986 -3.009 -3.042
-2.058 -1.943 -1.884 -2.086 -1.865 -2.187 -1.955 -2.098 -1.945 -2.107
-1.078 -1.180 -1.013 -0.809 -0.874 -1.042 -0.971 -1.095 -0.940 -1.003
0.066 0.042 0.032 -0.114 0.010 -0.023 -0.042 -0.067 -0.133 -0.093
0.963 1.047 1.142 0.962 0.891 1.172 1.008 1.025 0.989 1.083
1.769 1.934 2.216 2.103 1.892 1.950 2.179 2.173 1.943 2.094
2.899 3.072 2.916 3.139 2.971 3.023 2.900 2.931 2.994 2.892
3.902 4.033 4.030 4.096 4.032 4.051 3.891 3.985 3.950 4.025
4.941 4.913 5.104 5.048 4.857 5.021 5.017 5.010 5.040 4.991
5.905 6.030 5.896 5.951 6.128 5.848 6.190 6.120 6.004 5.846
7.022 7.024 6.959 6.813 6.985 7.054 6.856 6.941 7.200 6.855
8.032 8.046 7.963 7.748 7.836 8.011 7.999 8.011 8.084 7.959
8.849 9.150 9.021 9.200 9.065 8.727 8.961 8.886 8.941 8.829
10.229 9.955 9.934 10.015 10.043 9.844 9.910 10.035 10.016 9.933
