0 18 0 2
1 19 0 2
2 19 0 2
3 20 0 2
4 21 0 2
5 21 0 2
6 22 0 2
7 23 0 2
8 23 0 2
9 24 0 2
10 25 0 2
11 26 0 2
12 27 0 2
13 27 0 2
14 28 1 3
15 29 1 3
16 30 1 3
17 31 1 3
18 32 1 3
19 33 1 3
20 34 1 3
21 35 1 3
22 36 1 3
23 37 1 3
24 38 2 0
25 39 2 0
26 40 2 0
27 41 2 0
28 42 2 0
29 44 2 0
30 45 2 0
31 46 2 0
32 47 3 2
33 49 3 2
34 50 3 2
35 51 3 2
36 53 3 2
37 54 3 2
38 56 3 2
39 57 4 3
40 59 4 3
41 60 4 3
42 62 4 3
43 64 4 3
44 65 5 2
45 67 5 2
46 69 5 2
47 71 5 2
48 73 5 2
49 74 6 2
50 76 6 2
51 78 6 2
52 80 6 2
53 82 7 5
54 84 7 5
55 86 7 5
56 89 7 5
57 91 8 0
58 93 8 0
59 95 8 0
60 98 8 0
61 100 9 2
62 102 9 2
63 105 9 2
64 107 10 1
65 110 10 1
66 113 10 1
67 115 11 2
68 118 11 2
69 121 11 2
70 123 12 4
71 126 12 4
72 129 12 4
73 132 13 1
74 135 13 1
75 138 14 2
76 141 14 2
77 144 15 1
78 148 15 1
79 151 15 1
80 154 16 4
81 157 16 4
82 161 17 4
83 164 17 4
84 168 18 0
85 171 18 0
86 175 19 4
87 179 19 4
88 182 20 1
89 186 20 1
90 190 21 2
91 194 22 4
92 198 22 4
93 202 23 3
94 206 23 3
95 210 24 2
96 214 25 6
97 218 25 6
98 223 26 4
99 227 27 3
100 231 27 3
101 236 28 1
102 240 29 4
103 245 29 4
104 249 30 2
105 254 31 4
106 259 32 6
107 264 32 6
108 268 33 5
109 273 34 2
110 278 35 1
111 283 36 8
112 288 36 8
113 293 37 3
114 299 38 2
115 304 39 3
116 309 40 1
117 314 41 4
118 320 42 4
119 325 43 2
120 331 44 5
121 336 45 1
122 342 46 4
123 347 47 2
124 353 48 2
125 359 49 5
126 365 50 2
127 370 51 4
128 376 52 1
129 382 53 4
130 388 55 5
131 394 56 1
132 400 57 0
133 406 58 7
134 412 59 3
135 418 60 2
136 425 62 3
137 431 63 1
138 437 64 3
139 444 66 3
140 450 67 3
141 456 68 5
142 463 70 8
143 469 71 3
144 476 72 1
145 482 74 2
146 489 75 4
147 495 77 4
148 502 78 1
149 509 80 0
150 515 81 3
151 522 83 3
152 529 84 3
153 535 86 5
154 542 87 2
155 549 89 3
156 556 91 4
157 562 92 2
158 569 94 0
159 576 96 9
160 583 97 1
161 590 99 7
162 597 101 2
163 604 103 2
164 610 105 3
165 617 106 4
166 624 108 1
167 631 110 5
168 638 112 3
169 645 114 7
170 652 116 3
171 658 118 7
172 665 120 5
173 672 122 1
174 679 124 3
175 686 126 0
176 692 128 1
177 699 130 2
178 706 132 4
179 713 134 6
180 719 136 1
181 726 138 4
182 733 140 1
183 739 143 2
184 746 145 1
185 752 147 3
186 759 149 2
187 765 151 2
188 772 154 3
189 778 156 2
190 784 158 2
191 791 161 2
192 797 163 2
193 803 165 2
194 809 168 0
195 815 170 2
196 822 173 3
197 827 175 5
198 833 177 2
199 839 180 0
200 845 182 3
201 851 185 1
202 857 187 4
203 862 190 1
204 868 192 3
205 873 195 1
206 879 198 2
207 884 200 1
208 889 203 3
209 894 205 3
210 899 208 4
211 904 211 3
212 909 213 3
213 914 216 3
214 919 219 6
215 924 222 3
216 928 224 2
217 933 227 1
218 937 230 1
219 941 233 6
220 946 235 6
221 950 238 1
222 954 241 2
223 958 244 2
224 961 247 2
225 965 249 1
226 969 252 3
227 972 255 2
228 976 258 3
229 979 261 2
230 982 264 2
231 985 267 1
232 988 270 4
233 991 273 2
234 994 275 4
235 996 278 0
236 999 281 6
237 1001 284 3
238 1003 287 3
239 1006 290 1
240 1008 293 7
241 1010 296 4
242 1011 299 1
243 1013 302 2
244 1015 305 4
245 1016 308 2
246 1017 311 3
247 1018 314 2
248 1020 317 1
249 1020 320 3
250 1021 323 2
251 1022 326 1
252 1023 329 2
253 1023 332 2
254 1023 335 1
255 1023 338 2
256 1024 341 1
257 1023 344 1
258 1023 347 2
259 1023 350 2
260 1023 353 1
261 1022 356 2
262 1021 359 4
263 1020 362 0
264 1020 365 3
265 1018 368 3
266 1017 371 3
267 1016 374 5
268 1015 377 3
269 1013 380 5
270 1011 383 1
271 1010 386 6
272 1008 389 4
273 1006 392 1
274 1003 395 1
275 1001 398 3
276 999 401 6
277 996 404 6
278 994 407 4
279 991 410 3
280 988 413 4
281 985 415 6
282 982 418 2
283 979 421 3
284 976 424 3
